[1509886888.371367],log level:0,thread name:light sensor ,light sensor: Luminosity is 3.032591
[1509886888.372653],log level:0,thread name:light ,light:is alive
[1509886888.377032],log level:3,thread name:temperature thread ,temperature thread: is requesting light task to the query
[1509886888.377819],log level:3,thread name:light thread ,light thread: is responding to the query
[1509886888.380732],log level:0,thread name:temperature sensor ,temperature sensor: Temperature is 22.000000
[1509886888.380992],log level:0,thread name:temp ,temp:is alive
[1509886888.382283],log level:0,thread name:decision ,decision:is alive
[1509886888.383711],log level:0,thread name:log ,log:is alive
[1509886888.388852],log level:0,thread name:light sensor ,light sensor: Luminosity is 3.032591
[1509886888.389838],log level:0,thread name:light ,light:is alive
[1509886888.395992],log level:3,thread name:temperature thread ,temperature thread: is requesting light task to the query
[1509886888.396352],log level:3,thread name:light thread ,light thread: is responding to the query
[1509886888.397710],log level:0,thread name:temperature sensor ,temperature sensor: Temperature is 22.000000
[1509886888.398228],log level:0,thread name:temp ,temp:is alive
[1509886888.399179],log level:0,thread name:decision ,decision:is alive
[1509886888.399333],log level:0,thread name:log ,log:is alive
[1509886888.402560],log level:0,thread name:light sensor ,light sensor: Luminosity is 3.032591
[1509886888.404208],log level:0,thread name:light ,light:is alive
[1509886888.408803],log level:3,thread name:temperature thread ,temperature thread: is requesting light task to the query
[1509886888.409852],log level:3,thread name:light thread ,light thread: is responding to the query
[1509886888.411063],log level:0,thread name:temperature sensor ,temperature sensor: Temperature is 22.000000
[1509886888.412727],log level:0,thread name:temp ,temp:is alive
[1509886888.413130],log level:0,thread name:decision ,decision:is alive
[1509886888.413327],log level:0,thread name:log ,log:is alive
[1509886888.417613],log level:0,thread name:light sensor ,light sensor: Luminosity is 3.032591
[1509886888.418573],log level:0,thread name:light ,light:is alive
[1509886888.421589],log level:3,thread name:temperature thread ,temperature thread: is requesting light task to the query
[1509886888.422339],log level:3,thread name:light thread ,light thread: is responding to the query
[1509886888.423601],log level:0,thread name:temperature sensor ,temperature sensor: Temperature is 22.000000
[1509886888.424156],log level:0,thread name:temp ,temp:is alive
[1509886888.425287],log level:0,thread name:decision ,decision:is alive
[1509886888.425474],log level:0,thread name:log ,log:is alive
[1509886888.429109],log level:0,thread name:light sensor ,light sensor: Luminosity is 3.032591
[1509886888.430747],log level:0,thread name:light ,light:is alive
[1509886888.434617],log level:3,thread name:temperature thread ,temperature thread: is requesting light task to the query
[1509886888.435226],log level:3,thread name:light thread ,light thread: is responding to the query
[1509886888.436600],log level:0,thread name:temperature sensor ,temperature sensor: Temperature is 22.000000
[1509886888.437500],log level:0,thread name:temp ,temp:is alive
[1509886888.438358],log level:0,thread name:decision ,decision:is alive
[1509886888.438812],log level:0,thread name:log ,log:is alive
[1509886888.443799],log level:0,thread name:light sensor ,light sensor: Luminosity is 3.032591
[1509886888.444755],log level:0,thread name:light ,light:is alive
[1509886888.448932],log level:3,thread name:temperature thread ,temperature thread: is requesting light task to the query
[1509886888.449926],log level:3,thread name:light thread ,light thread: is responding to the query
[1509886888.451020],log level:0,thread name:temperature sensor ,temperature sensor: Temperature is 22.000000
[1509886888.451744],log level:0,thread name:temp ,temp:is alive
[1509886888.452125],log level:0,thread name:decision ,decision:is alive
[1509886888.452570],log level:0,thread name:log ,log:is alive
[1509886888.458123],log level:0,thread name:light sensor ,light sensor: Luminosity is 3.032591
[1509886888.459046],log level:0,thread name:light ,light:is alive
[1509886888.462948],log level:3,thread name:temperature thread ,temperature thread: is requesting light task to the query
[1509886888.464206],log level:3,thread name:light thread ,light thread: is responding to the query
[1509886888.465289],log level:0,thread name:temperature sensor ,temperature sensor: Temperature is 22.000000
[1509886888.465498],log level:0,thread name:temp ,temp:is alive
[1509886888.466569],log level:0,thread name:decision ,decision:is alive
[1509886888.466749],log level:0,thread name:log ,log:is alive
[1509886888.471033],log level:0,thread name:light sensor ,light sensor: Luminosity is 3.032591
[1509886888.472277],log level:0,thread name:light ,light:is alive
[1509886888.476056],log level:3,thread name:temperature thread ,temperature thread: is requesting light task to the query
[1509886888.476348],log level:3,thread name:light thread ,light thread: is responding to the query
[1509886888.477985],log level:0,thread name:temperature sensor ,temperature sensor: Temperature is 22.000000
[1509886888.478632],log level:0,thread name:temp ,temp:is alive
[1509886888.479852],log level:0,thread name:decision ,decision:is alive
[1509886888.480057],log level:0,thread name:log ,log:is alive
[1509886888.483343],log level:0,thread name:light sensor ,light sensor: Luminosity is 3.032591
[1509886888.484713],log level:0,thread name:light ,light:is alive
[1509886888.488938],log level:3,thread name:temperature thread ,temperature thread: is requesting light task to the query
[1509886888.489574],log level:3,thread name:light thread ,light thread: is responding to the query
[1509886888.491037],log level:0,thread name:temperature sensor ,temperature sensor: Temperature is 22.000000
[1509886888.491251],log level:0,thread name:temp ,temp:is alive
[1509886888.492225],log level:0,thread name:decision ,decision:is alive
[1509886888.492706],log level:0,thread name:log ,log:is alive
[1509886888.495982],log level:0,thread name:light sensor ,light sensor: Luminosity is 3.032591
[1509886888.497312],log level:0,thread name:light ,light:is alive
[1509886888.500874],log level:3,thread name:temperature thread ,temperature thread: is requesting light task to the query
[1509886888.501571],log level:3,thread name:light thread ,light thread: is responding to the query
[1509886888.502610],log level:0,thread name:temperature sensor ,temperature sensor: Temperature is 22.000000
[1509886888.502815],log level:0,thread name:temp ,temp:is alive
